"yearsBP","SPD","clim","conN","decN","wetwN","wetmN","pasN","araN","heaN","conNs","decNs","wetwNs","wetmNs","pasNs","araNs","heaNs"
7700,0.0561370787218533,-0.895582606312,1057,1462,277,106,114,4,129,1251.16666666667,2241,484.666666666667,139.75,189,5,305
7600,0.0509984959689602,-0.800511634554,2489,3974,732,250,254,28,405,1442.5,2571.375,519.666666666667,165.25,182.714285714286,16,308
7500,0.080189854312084,-1.18788359348,1438,2039,448,250,187,10,197,1535.33333333333,2476.125,485.666666666667,174.125,189,19,298.142857142857
7400,0.0689432185610417,-1.07468548212,2157,2146,536,131,104,14,163,1662.16666666667,2465.25,572,172.5,174.142857142857,12,274
7300,0.0765757006830666,-1.22455415588,1547,1944,561,207,164,19,213,1660.16666666667,2408.625,515,179.625,166.714285714286,16.5,263.142857142857
7200,0.0788877170405923,-1.02609742113,1197,1251,200,70,65,5,73,1647.5,2293.5,432.333333333333,172.875,146.857142857143,12,226.571428571429
7100,0.0753567077854768,-1.15055454141,2770,2915,603,288,167,24,221,1933,2251.625,454.666666666667,184,150.714285714286,14.5,200.142857142857
7000,0.0753815741214467,-0.826920930827,1438,1539,425,154,89,6,139,1757.83333333333,2158.75,409.333333333333,182,147.142857142857,15,201.571428571429
6900,0.0740939705207255,-1.00375189731,1458,1139,214,99,88,7,157,1761.16666666667,2118.375,414,181.125,123.428571428571,6.5,166.142857142857
6800,0.0505916154850474,-1.20354236006,1652,1973,453,148,92,5,161,1677,1868.25,364,168.375,109.857142857143,6,161
6700,0.052179890469562,-0.498282691146,1425,1794,432,201,85,4,163,1656.66666666667,1837.625,366.333333333333,162.25,107.142857142857,4.5,161
6600,0.0986989931756826,-0.828343606892,1640,1670,257,124,129,19,163,1730.5,1778.125,380.666666666667,161.375,102.142857142857,11.5,153.857142857143
6500,0.081118841679012,-0.788562921508,1791,2429,536,179,126,6,266,1567.33333333333,1838.75,408.333333333333,157.875,110.857142857143,12.5,181.428571428571
6400,0.0858157712138832,-0.504670985033,1397,1578,248,151,70,9,209,1560.5,1879.625,347,168,97,7.5,179.714285714286
6300,0.101936194038529,-0.761597889493,2673,2858,483,229,138,11,256,1763,1872.5,422.333333333333,160.625,104,10,196.428571428571
6200,0.135560197242902,-1.15586440035,1341,1941,279,113,54,11,148,1711.16666666667,1922.75,336.666666666667,155.5,99.1428571428571,11,195.142857142857
6100,0.098476107112537,-0.85946054975,2421,2318,408,223,149,18,274,1877.16666666667,2070.125,390,171,107.285714285714,14.5,211.285714285714
6000,0.0944618707166596,0.103485178843,1809,2500,698,150,96,10,244,1905.33333333333,2136,461.666666666667,171.25,108.857142857143,14,222.857142857143
5900,0.125349773195378,0.436134211535,1483,1268,265,220,116,8,161,1854,2070.25,457,173.625,107,9,222.571428571429
5800,0.10056531640595,-0.146398058982,2513,3033,584,333,217,14,342,2040,2240.625,515.666666666667,199.75,120,11,233.428571428571
5700,0.102238993915922,-0.334435093494,1641,1394,276,139,72,11,137,1868,2111.25,375,194.75,120.285714285714,12.5,223.142857142857
5600,0.0935155494723838,-0.649076092508,1909,1907,350,230,147,13,284,1962.66666666667,2152.375,403.333333333333,204.625,121.571428571429,12,227.142857142857
5500,0.129278009203086,-0.492477344047,2195,2236,483,143,105,22,317,1925,2074.625,369.666666666667,193.875,128.857142857143,17.5,251.285714285714
5400,0.104084323612255,-0.599293234718,1152,1749,233,211,129,11,267,1815.5,2050.625,355.333333333333,206.125,126,16.5,250.285714285714
5300,0.106817834134943,-0.684067548982,1766,2874,398,193,133,16,287,1862.66666666667,2120.125,371.333333333333,202.375,131.285714285714,13.5,256.428571428571
5200,0.0834190615389582,-0.648766264246,1278,1435,252,98,70,6,147,1656.83333333333,1987,294.333333333333,195.875,124.714285714286,11,254.428571428571
5100,0.0878591707025648,-0.701761162484,1517,1896,210,211,149,12,284,1636.16666666667,2065.5,286.666666666667,194.75,115,9,246.142857142857
5000,0.0932284964560635,-0.620290414326,1227,1823,292,121,102,15,238,1522.5,1914.25,251.333333333333,168.25,119.285714285714,13.5,260.571428571429
4900,0.127003482358447,-0.457834877004,1791,2317,251,182,151,17,304,1455.16666666667,2029.625,251,173.625,119.857142857143,16,263.428571428571
4800,0.13854768963505,-0.184293639907,1542,2517,224,176,180,17,327,1520.16666666667,2105.875,255.666666666667,166.875,130.571428571429,17,264.857142857143
4700,0.0957073915023408,-0.136906948417,977,1581,188,145,144,19,259,1388.66666666667,2024,221,167.125,132.714285714286,18,263.714285714286
4600,0.0951302069926066,-0.0105101156966,1892,1760,169,197,92,5,176,1491,2025.375,193.666666666667,165.375,126.857142857143,12,247.857142857143
4500,0.0953873654514655,-0.321275334402,1701,2000,188,147,112,10,246,1521.66666666667,1916.125,181.666666666667,159.625,132.857142857143,7.5,262
4400,0.115080636379853,-0.342537893745,1311,1815,286,239,122,6,349,1535.66666666667,1963.625,214.333333333333,177.25,129,8,271.285714285714
4300,0.103256435412695,-0.669803582835,945,1390,154,85,67,9,98,1394.66666666667,1900.375,209.333333333333,161.5,124,7.5,251.285714285714
4200,0.102002952739462,-0.329636889559,1519,2647,230,238,167,18,282,1390.83333333333,2003.375,223.333333333333,176.125,126.285714285714,13.5,248.142857142857
4100,0.116061837592432,-0.551378467644,1894,1953,259,200,149,14,327,1543.66666666667,1957.875,214.333333333333,178.375,121.857142857143,16,248.142857142857
4000,0.135199730371362,-0.359082099937,1213,2155,195,110,130,23,213,1430.5,1912.625,228,170.125,119.857142857143,18.5,241.571428571429
3900,0.15770493674815,0.11201512909,1014,1339,221,144,121,13,259,1316,1882.375,225,170,124,18,253.428571428571
3800,0.155944810024624,-0.812908559429,1970,3101,296,255,225,14,369,1425.83333333333,2050,237.333333333333,177.25,140.142857142857,13.5,271
3700,0.14067029720617,-0.222246578147,827,726,326,79,47,10,427,1406.16666666667,1890.75,281,168.75,129.428571428571,12,282.142857142857
3600,0.153614379485126,-0.250364230649,1417,2403,173,195,148,7,252,1389.16666666667,1964.25,265,163.25,141,8.5,304.142857142857
3500,0.156644684949194,-0.210481358235,1675,2324,219,216,177,13,311,1352.66666666667,2081,239.333333333333,179.625,142.428571428571,10,308.285714285714
3400,0.0853955206892512,-0.475003110923,1183,2108,131,164,130,14,261,1347.66666666667,2013.625,174.333333333333,170.375,139.714285714286,13.5,298.857142857143
3300,0.104447571665582,-0.755436944461,1096,1707,166,182,158,15,276,1361.33333333333,1982.875,172,168.125,143.714285714286,14.5,307.857142857143
3200,0.107885120433756,-0.246273748716,1813,2557,193,204,136,7,221,1335.16666666667,2033.125,163.333333333333,179.875,145.857142857143,11,302.428571428571
3100,0.0865273255424593,-0.0771851252165,1093,2490,205,271,198,14,366,1379.5,2177,188,195.75,142,10.5,302
3000,0.0799021248959402,0.0847759498485,1023,1945,154,147,103,5,169,1313.83333333333,2032.5,184,182.25,150,9.5,265.142857142857
2900,0.0735347615419406,0.23021628636,1794,2429,176,349,228,19,355,1333.66666666667,2245.375,178.333333333333,216,161.428571428571,12,279.857142857143
2800,0.0823265316179848,-0.104301123816,1069,2089,207,168,158,7,243,1314.66666666667,2206.125,179,212.625,158.714285714286,13,270.142857142857
2700,0.109133154820383,-0.40161848954,831,2054,127,250,165,13,321,1270.5,2172.375,170,216.875,163.714285714286,10,278.714285714286
2600,0.0971552869758551,-1.00420116429,1701,2883,234,315,198,22,364,1251.83333333333,2269.25,189.333333333333,235.75,169.428571428571,17.5,291.285714285714
2500,0.0846512611107465,-0.75498793161,1511,2372,165,212,189,15,186,1321.5,2352.375,175.333333333333,239.5,177,18.5,286.285714285714
2400,0.124628272471354,-1.02811892221,1451,2847,418,322,237,36,464,1392.83333333333,2388.625,272.333333333333,254.25,182.571428571429,25.5,300.285714285714
2300,0.183246733802895,-1.13332990748,1530,2053,194,215,178,12,286,1348.83333333333,2334,259,247.25,193.285714285714,24,317
2200,0.180137324675195,-0.832331325248,1224,1509,111,156,84,11,116,1374.66666666667,2279.5,241,248.375,172.714285714286,11.5,282.857142857143
2100,0.179115456614381,-1.47074219911,1404,2045,152,248,175,15,325,1470.16666666667,2231.5,152.333333333333,235.75,175.142857142857,13,294.571428571429
2000,0.167721077282217,-0.635200883209,1960,2481,212,229,214,17,286,1513.33333333333,2280.5,158.333333333333,243.375,182.142857142857,16,289.571428571429
1900,0.121142825608903,-0.894270942986,1607,2488,163,296,212,24,316,1529.33333333333,2334.75,175.666666666667,249.125,184.142857142857,20.5,282.714285714286
1800,0.111176259021269,-0.392274903365,1209,1686,137,259,199,28,277,1489,2185.125,170.666666666667,242.125,185.571428571429,26,295.714285714286
1700,0.102311111666928,-0.406332438496,1451,2499,209,211,220,26,387,1475.83333333333,2201,169.666666666667,242,183.142857142857,27,284.714285714286
1600,0.119041511771543,-0.286196686991,1784,2244,260,400,407,59,580,1569.16666666667,2125.625,202,251.75,215.857142857143,42.5,326.714285714286
1500,0.163262179680343,-0.250646924169,809,1533,111,164,151,21,199,1470,2060.625,193.333333333333,245.375,225.428571428571,40,338.571428571429
1400,0.179263062105979,-0.790991499909,1222,1457,131,160,162,17,236,1347,2054.125,167.333333333333,245.875,223.571428571429,19,325.857142857143
