"dataset_ID","meantimes","Acer","Adoxa.moschatellina","Anemone","Anemone.nemorosa","Betula","Betula.Corylus.Myrica","Betula.fruticosa","Betula.humilis","Betula.nana","Betula.pendula","Betula.pubescens","Carpinus","Carpinus.betulus","Convallaria","Convallaria.majalis","Cornus","Cornus.mas.C..suecica","Cornus.sanguinea","Cornus.suecica","Corylus","Corylus.avellana","Corylus.Myrica","Fagus","Fagus.sylvatica","Fraxinus","Fraxinus.excelsior","Hedera","Hedera.helix","Ilex","Larix","Lonicera.periclymenum","Mercurialis","Mercurialis.perennis","Micranthes.nivalis","Micranthes.nivalis.M..tenuis","Polygonatum","Polygonatum.verticillatum","Populus","Populus.tremula","Prunus","Prunus.padus","Quercus","Rhamnus","Rhamnus.cathartica","Sanicula","Sorbus","Sorbus.aria","Sorbus.aucuparia","Stachys.sylvatica","Tilia","Tilia.cordata","Ulmus","Ulmus.glabra","Viburnum","Viburnum.opulus","Viscum","Viscum.album"
"12",1659.009,"0",NA,NA,NA,"128",NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43",NA,"13",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96",NA,NA,NA,NA,NA,NA,NA,"25",NA,"20",NA,NA,NA,"0",NA
"12",1697.687,"0",NA,NA,NA,"133",NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18",NA,"3",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",NA,NA,NA,NA,NA,NA,NA,"18",NA,"22",NA,NA,NA,"0",NA
"12",1736.082,"1",NA,NA,NA,"154",NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33",NA,"7",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91",NA,NA,NA,NA,NA,NA,NA,"22",NA,"34",NA,NA,NA,"0",NA
"12",1774.342,"0",NA,NA,NA,"224",NA,NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23",NA,"23",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87",NA,NA,NA,NA,NA,NA,NA,"12",NA,"20",NA,NA,NA,"0",NA
"12",1814,"0",NA,NA,NA,"188",NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,"10",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74",NA,NA,NA,NA,NA,NA,NA,"13",NA,"12",NA,NA,NA,"0",NA
"12",1855.168,"0",NA,NA,NA,"117",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49",NA,"5",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93",NA,NA,NA,NA,NA,NA,NA,"16",NA,"1",NA,NA,NA,"0",NA
"12",1897.609,"1",NA,NA,NA,"132",NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37",NA,"9",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"116",NA,NA,NA,NA,NA,NA,NA,"32",NA,"22",NA,NA,NA,"0",NA
"12",1955.043,"0",NA,NA,NA,"148",NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23",NA,"11",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91",NA,NA,NA,NA,NA,NA,NA,"21",NA,"31",NA,NA,NA,"0",NA
"12",2079.434,"0",NA,NA,NA,"158",NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,"6",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"92",NA,NA,NA,NA,NA,NA,NA,"32",NA,"19",NA,NA,NA,"0",NA
"12",2256.752,"0",NA,NA,NA,"223",NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,"5",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69",NA,NA,NA,NA,NA,NA,NA,"25",NA,"15",NA,NA,NA,"0",NA
