"dataset_ID","meantimes","Arctium","Artemisia","Artemisia.norvegica","Asteroideae","Avena.Triticum","Cannabaceae","Cannabis","Cannabis.sativa","Capsella","Caryophyllaceae","Centaurea.cyanus","Cerealia","Fagopyrum","Fagopyrum.esculentum","Galeopsis","Hordeum","Humulus","Humulus.Cannabis","Humulus.lupulus","Juglans","Juglans.regia","Linum.usitatissimum","Lycopsis.arvensis","Papaver.radicatum","Papaver.rhoeas","Persicaria.maculosa","Plantago.major","Plantago.major.P..media","Polygonum.aviculare","Rumex","Rumex.longifolius","Rumex.Oxyria","Rumex.Oxyria.digyna","Scleranthus.annuus","Secale","Secale.cereale","Sinapis","Spergula","Spergula.arvensis","Spergula.Spergularia","Triticum"
"12",1855.168,NA,"1",NA,"0",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1897.609,NA,"3",NA,"0",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1955.043,NA,"3",NA,"0",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2079.434,NA,"3",NA,"1",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2256.752,NA,"2",NA,"1",NA,"0",NA,NA,NA,"1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2495.8,NA,"7",NA,"0",NA,"0",NA,NA,NA,"0","0","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2741.197,NA,"3",NA,"1",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2937.323,NA,"6",NA,"0",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3039.663,NA,"10",NA,"0",NA,"0",NA,NA,NA,"1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3133.014,NA,"3",NA,"0",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3230.126,NA,"1",NA,"1",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3382.778,NA,"3",NA,"0",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3542.28,NA,"4",NA,"0",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3675.086,NA,"1",NA,"1",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3782.671,NA,"4",NA,"0",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
